Phicolo;DX9N41KH472;8;1100
LG;M57MJ4E3YL2;11;1400
LG;BC738P2B57C5;7;1300
Philips;Y4SSJ227KC59;10;900
LG;OEH0F02888;7;1400
Beko;S2WBW5EY882;5;1300
Phicolo;LLB8007TA6;7;1300
AEG;IBMWUYZ6Y83;5;900
Phicolo;XZYNAD82HB71;5;1300
Candy;CFD3810C588;8;900
Electrolux;NVX2XB81;7;1300
Candy;MI990616B2;11;1100
Phicolo;ZFHOY9VZ3J80;10;1400
AEG;FP22LGSN5U5;8;1300
AEG;D8GRI5L183;8;1000
Electrolux;VM8UEW77;10;900
Electrolux;B0PU29168;9;900
Electrolux;CSX6PCX370;9;800
Beko;BYJOM4DK369;6;1400
AEG;XFK0H5D65;10;900
Candy;SVMYV7WCO638;10;1100
LG;FJ3O9K7157;27;1400
Philips;ERWSQ1VV69;11;900
Beko;J0DRZ088;8;1400
Electrolux;X3ZJU45LR6;9;1300
Electrolux;E48OI904W68;10;1200
LG;ZYS0XLAYO6;7;1400
LG;KAFL1Y986;7;800
Electrolux;LHG776VKMK6;9;1200
Electrolux;L92W9Z5GS69;5;1200
Beko;Q4B94CL384;8;1200
Electrolux;Z2R81K8Y188;10;1100
Beko;IE8WI1XWR83;6;1300
Philips;FCGY9GUFB79;5;900
Philips;MJ35DFPM71;7;1200
LG;D35L4U91R89;8;900
LG;CP4BYTRVIS90;10;800
Candy;E4OQUPO71;5;1400
Candy;C2E39XO4382;7;1300
Phicolo;OF19FU87;10;900
Phicolo;UB8DZL3S582;9;1200
LG;L12RPBN970;9;1000
Philips;J01209X7L84;9;800
Candy;JK1R9LABFL75;8;1400
Philips;V804E62078;6;1000
AEG;I3E9E522F69;9;1400
Electrolux;JM4944ZR65;10;1200
Phicolo;HFKD5U69;28;800
Phicolo;Q1AE3M84;5;1200
Phicolo;T74F6E787;11;900
Phicolo;CO55LU3V979;10;957
Electrolux;WS028F68;6;800
Candy;OPH9ATM667;5;1300
LG;GMN0MNJLE72;11;1400
Philips;FQ5I3G2;9;1300
Philips;KT2IOZ00;8;1400
LG;DPZ0WYG972;6;1200
Candy;FEONTOF81J72;7;900
Electrolux;CZOEYCOZ0;8;1400
Electrolux;EZPTQ10Q274;8;800
LG;IC9F5J90;10;1400
Philips;TC6KNE8W99L8;7;800
AEG;TIY8J7BX8;7;1100
Philips;SL23A986;11;900
Philips;O77U999;6;1400
AEG;MUSX05VR81;5;1000
Phicolo;HJ3Q6C575;9;800
Electrolux;E9K2ZTPDL5;8;1300
Electrolux;B8855M81;121;800
LG;PM42CENH2N3;9;800
Candy;L54C6TWNS90;5;1300
Phicolo;QEJ4HLS78;11;1400
LG;H90UN0G75;6;1400
Electrolux;FQ6LL28466;7;1000
Philips;I6W65CSM182;5;1100
Electrolux;XV1EJ590;7;1400
LG;B2NKVMI75;10;1200
Philips;NY953RHQ570;6;900
Beko;B7GQM0XILV68;6;1400
Phicolo;JL8R97OJK86;10;1100
LG;Q93AUQY6PT88;6;800
Candy;WY0JGF9P67;8;839
AEG;ZFTTS25E1173;5;1000
AEG;MRHIJAXLGK5;10;1400
Electrolux;FZUV4EU74;11;1100
Beko;S6T0O76Q78;10;900
Electrolux;RJ88AAZH7;10;1100
AEG;B3935461P8;7;1000
LG;L8KQ5P55Q86;6;1100
Beko;M18WWBYTL6;7;1300
Phicolo;MUX1RDX5870;5;1100
Candy;I8KWU41G85;6;1400
Candy;KNFR4S267;6;1300
Philips;HCCPO6087;9;1100
LG;BE62FF56H79;8;1201
Candy;RVN9LY24R79;8;1400
Philips;QQHX1U65;9;900
AEG;CRHOP4Z574;6;900
AEG;B362436ZY7;6;1400
Phicolo;QR982S74;10;1200
